palavra,classe_gramatical,assunto,CM,letra
BOM2,ADJETIVO,NENHUM,cg42,B
BOM3,ADJETIVO,NENHUM,cg07,B
BOMBA1,SUBSTANTIVO,APARELHO/MÁQUINA,cg02,B
BOMBA2,SUBSTANTIVO,APARELHO/MÁQUINA,cg02,B
BOMBEIRO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg61,B
BOMBOM,SUBSTANTIVO,ALIMENTO/BEBIDA,cg62,B
BOMBRIL,SUBSTANTIVO,HIGIENE/SAÚDE,cg01,B
BONDINHO,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg14,B
BONE,SUBSTANTIVO,NENHUM,cg05,B
BONECA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg40,B
BONITO,SUBSTANTIVO,NENHUM,cg57,B
BONUS,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg07,B
BOQUIABERTO,ADJETIVO,NENHUM,cg63,B
BORBOLETA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg63,B
BORBULHAR,VERBO,NENHUM,cg47,B
BORDAR,VERBO,NENHUM,cg55,B
BORRACHA,SUBSTANTIVO,NENHUM,cg01,B
BORRAR,VERBO,NENHUM,cg42,B
BORRIFAR,VERBO,NENHUM,cg18a,B
BOSQUE,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64,B
BOTA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg63,B
BOTAO,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg49,B
BOTAR,VERBO,NENHUM,cg44,B
BOTAR2,VERBO,NENHUM,cg18a,B
BOTIJAO DE GAS,SUBSTANTIVO,CASA,cg01,B
BOXE,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02,B
BRACADEIRA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg18a,B
BRACELETE,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg21,B
BRACO,SUBSTANTIVO,CORPO,cg14,B
BRADAR,VERBO,NENHUM,cg31,B
BRAILLE,SUBSTANTIVO,NENHUM,cg64,B
BRANCO1,ADJETIVO,COR/FORMA,cg63,B
BRANCO2,ADJETIVO,CORPO,cg08a,B
BRANDO,ADJETIVO,NENHUM,cg54,B
BRASAO,SUBSTANTIVO,NENHUM,cg64,B
BRASIL,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg61,B
BRASILEIRO,ADJETIVO,NENHUM,cg61,B
BRASILIA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg20,B
BRAVO,ADJETIVO,NENHUM,cg16,B
BREVE1,ADV.,NENHUM,cg54,B
BREVE2,ADV.,NENHUM,cg07,B
BRIGADEIRO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg24,B
BRIGAR1,VERBO,NENHUM,cg47,B
BRIGAR2,VERBO,NENHUM,cg08a,B
BRIGAR3,VERBO,NENHUM,cg32,B
BRILHAR,VERBO,NENHUM,cg01,B
BRILHO,SUBSTANTIVO,NENHUM,cg64,B
BRINCADEIRA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg40,B
BRINCALHAO,ADJETIVO,NENHUM,cg40,B
BRINCAR,VERBO,NENHUM,cg40,B
BRINCO,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg18a,B
BRINDAR,VERBO,NENHUM,cg51a,B
BRINDE,SUBSTANTIVO,NENHUM,cg02,B
BRINQUEDO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg40,B
BROCHE,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg45,B
BROCHURA,SUBSTANTIVO,NENHUM,cg52,B
BROCOLIS,SUBSTANTIVO,LEGUME/VERDURA,cg15,B
BRONCA,SUBSTANTIVO,NENHUM,cg47,B
BRONQUITE,SUBSTANTIVO,HIGIENE/SAÚDE,cg53a,B
BRONZE,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg06,B
BRONZEADO,ADJETIVO,NENHUM,cg14,B
BRONZEADOR,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg53b,B
BRONZEAR,VERBO,NENHUM,cg19,B
BROTAR,VERBO,NENHUM,cg02,B
BRUTO,ADJETIVO,NENHUM,cg42,B
BRUXA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg18a,B
BRUXISMO,SUBSTANTIVO,HIGIENE/SAÚDE,cg01,B
BUCHA,SUBSTANTIVO,HIGIENE/SAÚDE,cg47,B
BUFALO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg40,B
BUFAR,VERBO,NENHUM,cg47,B
BUMERANGUE,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg05,B
BUNDA,SUBSTANTIVO,CORPO,cg47,B
BUQUE,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64,B
BURACO1,SUBSTANTIVO,NENHUM,cg14,B
BURACO2,SUBSTANTIVO,NENHUM,cg14,B
BURRO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg61,B
BUSCAR,VERBO,NENHUM,cg02,B
BUSSOLA,SUBSTANTIVO,APARELHO/MÁQUINA,cg14,B
BUZINAR,VERBO,NENHUM,cg47,B
C,SUBSTANTIVO,NENHUM,cg51a,C
CABANA,SUBSTANTIVO,CASA,cg47,C
CABECA,SUBSTANTIVO,CORPO,cg63,C
CABELEIREIRO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg32,C
CABELO,SUBSTANTIVO,CORPO,cg49,C
CABELUDO,ADJETIVO,HIGIENE/SAÚDE,cg57,C
CABER,VERBO,NENHUM,cg05,C
CABER-NAO,LOC.VERB.,NENHUM,cg32,C
CABIDE,SUBSTANTIVO,CASA,cg15,C
CABO1,SUBSTANTIVO,NENHUM,cg49,C
CABO2,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg32,C
CABRA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg27,C
CABRITO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg27,C
CACADOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg08a,C
CACAR,VERBO,NENHUM,cg08a,C
CACAREJAR,VERBO,NENHUM,cg21,C
CACAU,SUBSTANTIVO,FRUTA,cg49,C
CACHACA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg37a,C
CACHECOL,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg18a,C
CACHIMBO,SUBSTANTIVO,NENHUM,cg40,C
CACHO DE CABELO,SUBSTANTIVO,CORPO,cg14,C
CACHOEIRA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64,C
CACHORRO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg46a,C
CACHORRO-QUENTE,SUBSTANTIVO,ALIMENTO/BEBIDA,cg14,C
CACOAR,VERBO,NENHUM,cg08a,C
CACULA,VERBO,NENHUM,cg53a,C
CADA1,PRON. INDEFIN.,NENHUM,cg14,C
CADA2,PRON. INDEFIN.,NENHUM,cg33,C
CADARCO,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg05,C
CADAVER,SUBSTANTIVO,CORPO,cg18a,C
CADE,LOC.VERB.,NENHUM,cg64,C
CADEADO,SUBSTANTIVO,CASA,cg49,C
CADEIA,SUBSTANTIVO,NENHUM,cg32,C
CADEIRA,SUBSTANTIVO,NENHUM,cg31,C
CADERNETA DE POUPANCA,LOC. SUBST.,NUMERAL/DINHEIRO,cg11,C
CADERNETA ESCOLAR,LOC. SUBST.,NENHUM,cg63,C
CADERNO,SUBSTANTIVO,NENHUM,cg63,C
CAFE,SUBSTANTIVO,FRUTA,cg55,C
CAFE DA MANHA,LOC. SUBST.,ALIMENTO/BEBIDA,cg55,C
CAFEZINHO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg55,C
CAFONA,ADJETIVO,NENHUM,cg15,C
CAGAR,VERBO,NENHUM,cg01,C
CAIBRA,SUBSTANTIVO,HIGIENE/SAÚDE,cg02,C
CAIPIRA,SUBSTANTIVO,NENHUM,cg15,C
CAIPIRINHA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg37a,C
CAIR1,VERBO,NENHUM,cg32,C
CAIR2,VERBO,NENHUM,cg14,C
CAIXA D'AGUA,SUBSTANTIVO,CASA,cg08a,C
CAIXA1,SUBSTANTIVO,CASA,cg63,C
CAIXA2,SUBSTANTIVO,APARELHO/MÁQUINA,cg53a,C
CAIXAO,SUBSTANTIVO,NENHUM,cg62,C
CAJADO,SUBSTANTIVO,NENHUM,cg02,C
CAJU,SUBSTANTIVO,FRUTA,cg16,C
CALADO,ADJETIVO,NENHUM,cg61,C
CALAFRIO,SUBSTANTIVO,HIGIENE/SAÚDE,cg16,C
CALAR,VERBO,NENHUM,cg61,C
CALAR A BOCA,VERBO,NENHUM,cg44,C
CALCA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg63,C
CALCADA,SUBSTANTIVO,NENHUM,cg63,C
CALCANHAR,SUBSTANTIVO,CORPO,cg11,C
CALCAO,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg53a,C
CALCAR,VERBO,NENHUM,cg05,C
CALCINHA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg47,C
CALCULADORA,SUBSTANTIVO,APARELHO/MÁQUINA,cg47,C
CALCULAR,VERBO,NENHUM,cg51a,C
CALCULO1,SUBSTANTIVO,NENHUM,cg51a,C
CALCULO2,SUBSTANTIVO,NENHUM,cg51a,C
CALDA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg53a,C
CALENDARIO,SUBSTANTIVO,ANO SIDERAL,cg01,C
CALMA1,SUBSTANTIVO,SENTIMENTOS,cg64,C
CALMA2,SUBSTANTIVO,SENTIMENTOS,cg64,C
CALMANTE,SUBSTANTIVO,NENHUM,cg49,C
CALMO1,ADJETIVO,NENHUM,cg64,C
CALMO2,ADJETIVO,NENHUM,cg64,C
CALO,SUBSTANTIVO,CORPO,cg44,C
CALOR,SUBSTANTIVO,NENHUM,cg63,C
CALUNIA,SUBSTANTIVO,NENHUM,cg02,C
CALVARIO,SUBSTANTIVO,NENHUM,cg62,C
CALVO,ADJETIVO,CORPO,cg53b,C
CAMA,SUBSTANTIVO,CASA,cg37a,C
CAMADA,SUBSTANTIVO,NENHUM,cg62,C
CAMARAO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg15,C
CAMBALEAR,VERBO,NENHUM,cg32,C
CAMELO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg62,C
CAMERA DE VIGILANCIA,SUBSTANTIVO,APARELHO/MÁQUINA,cg50,C
CAMERA FOTOGRAFICA,SUBSTANTIVO,APARELHO/MÁQUINA,cg18b,C
CAMINHADA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg27,C
CAMINHAO,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg64,C
CAMINHAR,VERBO,NENHUM,cg27,C
CAMINHO,SUBSTANTIVO,NENHUM,cg63,C
CAMINHONETE,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg64,C
CAMISA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg55,C
CAMISETA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg07,C
CAMISINHA,SUBSTANTIVO,HIGIENE/SAÚDE,cg21,C
CAMISOLA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg64,C
CAMPAINHA,SUBSTANTIVO,APARELHO/MÁQUINA,cg14,C
CAMPANHA,SUBSTANTIVO,HIGIENE/SAÚDE,cg40,C
CAMPEAO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg51b,C
CAMPEONATO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg14,C
CAMPO DE BATALHA,SUBSTANTIVO,NENHUM,cg63,C
CAMPO1,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg18a,C
CAMPO2,SUBSTANTIVO,NENHUM,cg63,C
CAMUFLAR,VERBO,NENHUM,cg64,C
CAMUNDONGO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20,C
CANA DE ACUCAR,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg14,C
CANADA,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg14,C
CANADENSE,ADJETIVO,NENHUM,cg51a,C
CANAL,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg63,C
CANAL DE TV,SUBSTANTIVO,NENHUM,cg46a,C
CANARIO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20,C
CANCAO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg14,C
CANCELAR,VERBO,NENHUM,cg14,C
CANCELAR2,VERBO,NENHUM,cg07,C
CANCER,SUBSTANTIVO,HIGIENE/SAÚDE,cg29a,C
CANECA,SUBSTANTIVO,CASA,cg62,C
CANETA,SUBSTANTIVO,NENHUM,cg14,C
CANGURU,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg52,C
CANHAO,SUBSTANTIVO,APARELHO/MÁQUINA,cg02,C
CANHOTO1,ADJETIVO,CORPO,cg18a,C
CANHOTO2,SUBSTANTIVO,NUMERAL/DINHEIRO,cg08b,C
CANJICA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg26,C
CANO,SUBSTANTIVO,NENHUM,cg49,C
CANSACO,SUBSTANTIVO,NENHUM,cg47,C
CANSADO,ADJETIVO,NENHUM,cg47,C
CANSAR,VERBO,NENHUM,cg47,C
CANTAR,VERBO,NENHUM,cg47,C
CANTO1,SUBSTANTIVO,NENHUM,cg47,C
CANTO2,SUBSTANTIVO,NENHUM,cg61,C
CANTOR,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg02,C
CANUDO,SUBSTANTIVO,NENHUM,cg55,C
CAPA DE CHUVA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg05,C
CAPA1,SUBSTANTIVO,NENHUM,cg63,C
CAPA2,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg05,C
CAPACETE,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg47,C
CAPACIDADE,SUBSTANTIVO,NENHUM,cg05,C
CAPAZ,ADJETIVO,NENHUM,cg05,C
CAPELA,SUBSTANTIVO,NENHUM,cg01,C
CAPENGAR,VERBO,NENHUM,cg32,C
CAPIM1,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg46a,C
CAPIM2,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg46a,C
CAPITAL,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg39,C
CAPITAL2,SUBSTANTIVO,NUMERAL/DINHEIRO,cg08b,C
CAPITAO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg32,C
CAPITULO,SUBSTANTIVO,NENHUM,cg18a,C
CAPOEIRA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg31,C
CAPOTAR,VERBO,NENHUM,cg31,C
CAPRICHAR,VERBO,NENHUM,cg49,C
CAPTAR,VERBO,NENHUM,cg57,C
CARA,SUBSTANTIVO,NENHUM,cg14,C
CARA FEIA1,SUBSTANTIVO,NENHUM,cg14,C
CARA FEIA2,SUBSTANTIVO,NENHUM,cg47,C
CARATE,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg61,C
CARBURADOR,SUBSTANTIVO,APARELHO/MÁQUINA,cg64,C
CARECA,ADJETIVO,CORPO,cg62,C
CARIE,SUBSTANTIVO,HIGIENE/SAÚDE,cg51a,C
CARIMBAR1,VERBO,NENHUM,cg44,C
CARIMBAR2,VERBO,NENHUM,cg02,C
CARINHO,SUBSTANTIVO,SENTIMENTOS,cg52,C
CARNAVAL,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg64,C
CARNE,SUBSTANTIVO,ALIMENTO/BEBIDA,cg34,C
CARNE ASSADA,LOC. SUBST.,ALIMENTO/BEBIDA,cg34,C
CARNE MOIDA,LOC. SUBST.,NENHUM,cg34,C
CARNEIRO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg24,C
CARO1,ADJETIVO,NENHUM,cg51a,C
CARO2,ADJETIVO,NENHUM,cg64,C
CARONA,SUBSTANTIVO,NENHUM,cg07,C
CARPINTARIA,SUBSTANTIVO,NENHUM,cg02,C
CARPINTEIRO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg02,C
CARREGAR,VERBO,NENHUM,cg47,C
CARRINHO1,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg02,C
CARRINHO2,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg02,C
CARRO,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg02,C
CARROCA,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg05,C
CARTA1,SUBSTANTIVO,NENHUM,cg07,C
CARTA2,SUBSTANTIVO,NENHUM,cg24,C
CARTAO DE PONTO,SUBSTANTIVO,NENHUM,cg53b,C
CARTAO1,SUBSTANTIVO,NENHUM,cg18a,C
CARTAO2,SUBSTANTIVO,NUMERAL/DINHEIRO,cg18a,C
CARTAZ,SUBSTANTIVO,NENHUM,cg40,C
CARTEIRA DE BOLSO1,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg63,C
CARTEIRA DE BOLSO2,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg01,C
CARTEIRA DE HABILITACAO,LOC. SUBST.,NENHUM,cg02,C
CARTEIRA DE IDENTIDADE,LOC. SUBST.,NENHUM,cg07,C
CARTEIRA DE TRABALHO,LOC. SUBST.,PROFISSÃO/TRABALHO,cg63,C
CARTOLA,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg44,C
CARTORIO,SUBSTANTIVO,NENHUM,cg62,C
CASA,SUBSTANTIVO,CASA,cg62,C
CASACO,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg01,C
CASADO,ADJETIVO,FAMÍLIA,cg52,C
CASAL1,SUBSTANTIVO,FAMÍLIA,cg07,C
CASAL2,SUBSTANTIVO,FAMÍLIA,cg01,C
CASAMENTO,SUBSTANTIVO,FAMÍLIA,cg52,C
CASAR,VERBO,NENHUM,cg52,C
CASTIGAR,VERBO,NENHUM,cg31,C
CASTIGO,SUBSTANTIVO,NENHUM,cg31,C
CASTRAR,VERBO,NENHUM,cg32,C
CATALOGO,SUBSTANTIVO,NENHUM,cg63,C
CATAPORA,SUBSTANTIVO,HIGIENE/SAÚDE,cg49,C
CATARRO,SUBSTANTIVO,HIGIENE/SAÚDE,cg52,C
CATEGORIA,SUBSTANTIVO,NENHUM,cg47,C
CATOLICISMO,SUBSTANTIVO,NENHUM,cg51a,C
CATOLICO,ADJETIVO,NENHUM,cg51a,C
CATORZE,NUM.,NUMERAL/DINHEIRO,cg07,C
CATRACA1,SUBSTANTIVO,APARELHO/MÁQUINA,cg32,C
CATRACA2,SUBSTANTIVO,APARELHO/MÁQUINA,cg14,C
CAUDA1,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg49,C
CAUDA2,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg08b,C
CAULE,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg55,C
CAVALGAR,VERBO,NENHUM,cg28,C
CAVALO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg27,C
CAVALO-MARINHO,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg15,C
CAVANHAQUE,SUBSTANTIVO,CORPO,cg20,C
CAVEIRA,SUBSTANTIVO,CORPO,cg47,C
CAVIDADE NASAL,SUBSTANTIVO,CORPO,cg14,C
CD-ROM,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg51a,C
CEBOLA,SUBSTANTIVO,LEGUME/VERDURA,cg53a,C
CEDO1,ADV.,NENHUM,cg51a,C
CEDO2,LOC.ADV.,PLANTA/FLOR/NATUREZA,cg31,C
CEGO,ADJETIVO,CORPO,cg32,C
CEIA,SUBSTANTIVO,NENHUM,cg53a,C
CEIFAR,VERBO,NENHUM,cg63,C
CELA,SUBSTANTIVO,NENHUM,cg32,C
CELEBRAR,LOC.VERB.,NENHUM,cg63,C
CELEBRE,ADJETIVO,NENHUM,cg52,C
CELIBATO,SUBSTANTIVO,NENHUM,cg02,C
CELULAR1,SUBSTANTIVO,APARELHO/MÁQUINA,cg51a,C
CELULAR2,SUBSTANTIVO,APARELHO/MÁQUINA,cg46b,C
CEM,NUM.,NUMERAL/DINHEIRO,cg07,C
CEMITERIO,SUBSTANTIVO,NENHUM,cg62,C
CENOURA,SUBSTANTIVO,LEGUME/VERDURA,cg27,C
CENSURAR,VERBO,NENHUM,cg14,C
CENTIMETRO,SUBSTANTIVO,NENHUM,cg49,C
CENTRO1,SUBSTANTIVO,NENHUM,cg64,C
CENTRO2,SUBSTANTIVO,NENHUM,cg39,C
CENTRO3,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg47,C
CERCA,SUBSTANTIVO,CASA,cg58,C
CERCAR,VERBO,NENHUM,cg58,C
CEREBRO,SUBSTANTIVO,CORPO,cg47,C
CEREJA,SUBSTANTIVO,FRUTA,cg49,C
CERRACAO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg64,C
CERTIFICAR,VERBO,NENHUM,cg14,C
CERTO1,ADJETIVO,NENHUM,cg49,C
CERTO2,ADJETIVO,NENHUM,cg49,C
CERVEJA,SUBSTANTIVO,ALIMENTO/BEBIDA,cg51a,C
CESARIANA,SUBSTANTIVO,HIGIENE/SAÚDE,cg53a,C
CESTA,SUBSTANTIVO,CASA,cg47,C
CESTA DE LIXO,LOC. SUBST.,CASA,cg16,C
CEU1,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg51a,C
CEU2,SUBSTANTIVO,NENHUM,cg51b,C
CHA1,SUBSTANTIVO,ALIMENTO/BEBIDA,cg02,C
CHA2,SUBSTANTIVO,ALIMENTO/BEBIDA,cg55,C
CHAFARIZ,SUBSTANTIVO,NENHUM,cg44,C
CHAMAR1,VERBO,NENHUM,cg53b,C
CHAMAR2,VERBO,NENHUM,cg07,C
CHAMAR3,VERBO,NENHUM,cg52,C
CHAMINE,SUBSTANTIVO,CASA,cg18a,C
CHAMPANHE,SUBSTANTIVO,ALIMENTO/BEBIDA,cg07,C
CHANCE,SUBSTANTIVO,NENHUM,cg44,C
CHANTILY,SUBSTANTIVO,ALIMENTO/BEBIDA,cg57,C
CHAO,SUBSTANTIVO,CASA,cg63,C
CHAPEU1,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg51b,C
CHAPEU2,SUBSTANTIVO,VESTUÁRIO/COMPLEMENTOS,cg05,C
CHARUTO,SUBSTANTIVO,NENHUM,cg17,C
CHATEADO,ADJETIVO,NENHUM,cg46a,C
CHATEAR,VERBO,NENHUM,cg46a,C
CHATO1,ADJETIVO,NENHUM,cg51a,C
CHATO2,ADJETIVO,NENHUM,cg47,C
CHATO3,ADJETIVO,NENHUM,cg08a,C
CHATO4,ADJETIVO,NENHUM,cg63,C
CHAVE,SUBSTANTIVO,CASA,cg05,C
CHAVE DE FENDA,LOC. SUBST.,NENHUM,cg24,C
CHAVE PHILIPS,SUBSTANTIVO,NENHUM,cg25,C
CHEFE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg25,C
CHEFIAR,SUBSTANTIVO,NENHUM,cg40,C
CHEGA ! (BASTA),SUBSTANTIVO,NENHUM,cg40,C
CHEGAR1,VERBO,NENHUM,cg63,C
CHEGAR2,VERBO,NENHUM,cg63,C
CHEGAR3,VERBO,NENHUM,cg14,C
CHEIO,ADJETIVO,NENHUM,cg47,C
CHEIO1,ADJETIVO,NENHUM,cg47,C
CHEIO2,ADJETIVO,NENHUM,cg63,C
CHEIO3,ADJETIVO,NENHUM,cg02,C
CHEIO4,ADJETIVO,NENHUM,cg64,C
CHEIO5,ADJETIVO,NENHUM,cg64,C
CHEIO6,ADJETIVO,NENHUM,cg17,C
CHEIRAR,VERBO,NENHUM,cg57,C
CHEIRO1,SUBSTANTIVO,NENHUM,cg57,C
CHEIRO2,SUBSTANTIVO,NENHUM,cg16,C
CHEIRO3,SUBSTANTIVO,NENHUM,cg63,C
CHEIROSO,ADJETIVO,NENHUM,cg57,C
